test,model,position,loss
random,BDH,1,10.990349769592285
random,Transformer,1,17.239391326904297
random,BDH,2,15.872926712036133
random,Transformer,2,16.47502899169922
random,BDH,3,16.53675079345703
random,Transformer,3,16.526830673217773
random,BDH,4,16.278667449951172
random,Transformer,4,16.386646270751953
random,BDH,5,16.443973541259766
random,Transformer,5,16.283151626586914
random,BDH,6,15.856350898742676
random,Transformer,6,15.63199234008789
random,BDH,7,15.269561767578125
random,Transformer,7,15.598579406738281
random,BDH,8,15.977587699890137
random,Transformer,8,15.875166893005371
random,BDH,9,15.619787216186523
random,Transformer,9,15.935586929321289
random,BDH,10,15.72290325164795
random,Transformer,10,15.733844757080078
random,BDH,11,15.593208312988281
random,Transformer,11,16.05950164794922
random,BDH,12,15.530088424682617
random,Transformer,12,15.605550765991211
random,BDH,13,14.908310890197754
random,Transformer,13,14.887105941772461
random,BDH,14,16.13022232055664
random,Transformer,14,15.60717487335205
random,BDH,15,14.974128723144531
random,Transformer,15,14.96066951751709
random,BDH,16,15.468259811401367
random,Transformer,16,14.84244441986084
random,BDH,17,15.272379875183105
random,Transformer,17,15.130362510681152
random,BDH,18,15.243705749511719
random,Transformer,18,14.955984115600586
random,BDH,19,15.583684921264648
random,Transformer,19,15.011894226074219
random,BDH,20,15.019712448120117
random,Transformer,20,14.49260139465332
random,BDH,21,15.077080726623535
random,Transformer,21,14.543512344360352
random,BDH,22,15.36082649230957
random,Transformer,22,14.74929428100586
random,BDH,23,15.319727897644043
random,Transformer,23,15.14906120300293
random,BDH,24,15.199185371398926
random,Transformer,24,14.892377853393555
random,BDH,25,14.906576156616211
random,Transformer,25,14.782808303833008
random,BDH,26,14.77109146118164
random,Transformer,26,14.971599578857422
random,BDH,27,14.807476043701172
random,Transformer,27,14.709840774536133
random,BDH,28,14.486785888671875
random,Transformer,28,14.622775077819824
random,BDH,29,15.250886917114258
random,Transformer,29,14.746389389038086
random,BDH,30,14.89396858215332
random,Transformer,30,14.401100158691406
random,BDH,31,15.00883674621582
random,Transformer,31,14.30180549621582
random,BDH,32,15.644332885742188
random,Transformer,32,14.990592956542969
random,BDH,33,14.715750694274902
random,Transformer,33,14.602193832397461
random,BDH,34,15.117905616760254
random,Transformer,34,14.663492202758789
random,BDH,35,14.721744537353516
random,Transformer,35,14.60209846496582
random,BDH,36,14.926895141601562
